b,h,o,t_rtx,t_vega,t_vega_2.5,Vega vs Vega,Vega Vs RTX
3072,24000,1024,11.4,23.25,15.43,50.63%,-26.14%
3072,48000,1024,23,47.18,31.02,52.09%,-25.86%
4096,16,4096,0.12,0.17,0.38,-55.12%,-68.32%
4096,32,4096,0.15,0.24,0.42,-42.60%,-64.13%
4096,64,4096,0.21,0.39,0.54,-27.63%,-61.03%
4096,128,4096,0.37,0.68,0.82,-17.26%,-54.98%
4096,7000,4096,18.2,32.44,22.27,45.67%,-18.27%
4224,1,128,0.01,0.01,0.03,-66.63%,-66.63%
4224,1500,176,0.3,0.62,0.32,95.29%,-5.50%
4608,1,1536,0.06,0.05,0.13,-60.49%,-52.59%
4608,2,1536,0.06,0.05,0.13,-60.43%,-52.52%
4608,4,1536,0.06,0.06,0.13,-52.82%,-52.82%
4608,16,1536,0.06,0.08,0.14,-44.11%,-58.08%
4608,32,1536,0.07,0.1,0.16,-36.66%,-55.66%
4608,1500,1536,1.63,3.13,2.17,44.25%,-24.88%
4608,3000,1536,3.25,6.11,4.29,42.44%,-24.23%
4608,6000,1536,6.28,12.05,8.47,42.27%,-25.85%
4608,24000,1536,24.89,48.78,33.75,44.51%,-26.26%
4608,48000,1536,49.92,99.4,67.55,47.15%,-26.10%
5124,700,2048,1.17,2.13,1.85,14.83%,-36.93%
5124,700,2560,1.44,2.63,1.89,38.82%,-23.99%
5124,1500,2048,2.48,4.51,3.10,45.56%,-19.96%
5124,1500,2560,3.06,5.52,4.05,36.29%,-24.45%
5124,9124,1760,12.83,23.34,16.55,41.01%,-22.49%
5124,9124,2048,14.71,26.9,18.51,45.29%,-20.55%
5124,9124,2560,18.35,33.05,23.36,41.48%,-21.45%
5124,9124,4096,29.38,53.21,39.57,34.46%,-25.76%
6144,1,2560,0.13,0.12,0.31,-61.30%,-58.07%
6144,2,2560,0.13,0.11,0.31,-64.46%,-58.00%
6144,4,2560,0.13,0.13,0.31,-58.36%,-58.36%
6144,16,2560,0.12,0.18,0.35,-48.33%,-65.56%
6144,32,2560,0.13,0.24,0.40,-40.16%,-67.59%
6144,1500,2560,3.67,6.66,4.62,44.22%,-20.53%
6144,3000,2560,7.06,12.88,9.50,35.60%,-25.67%
