b,h,o,t_rtx,t_vega_2.4,t_vega_2.5,t_vega_2.6,2.4->2.5,2.5->2.6
2560,128,2560,0.14000,0.27000,0.36000,0.369119,0.75,0.98
2560,7000,2560,7.00000,13.14000,9.04000,9.006228,1.45,1.00
3072,1,128,0.01000,0.01000,0.01000,0.013288,1.00,0.75
3072,1,1024,0.03000,0.03000,0.04000,0.042820,0.75,0.93
3072,2,1024,0.03000,0.03000,0.04000,0.043739,0.75,0.91
3072,4,1024,0.03000,0.03000,0.04000,0.045164,0.75,0.89
3072,16,1024,0.03000,0.04000,0.05000,0.053847,0.80,0.93
3072,32,1024,0.03000,0.05000,0.06000,0.065850,0.83,0.91
3072,64,1024,0.04000,0.08000,0.09000,0.094959,0.89,0.95
3072,128,1024,0.07000,0.14000,0.15000,0.155566,0.93,0.96
3072,1500,128,0.15000,0.39000,0.16000,0.161863,2.44,0.99
3072,1500,1024,0.74000,1.49000,0.99000,1.071071,1.51,0.92
3072,3000,1024,1.45000,2.92000,1.96000,2.116314,1.49,0.93
3072,6000,1024,2.83000,5.76000,4.09000,4.101885,1.41,1.00
3072,24000,1024,11.40000,23.25000,15.43000,16.855487,1.51,0.92
3072,48000,1024,23.00000,47.18000,31.02000,33.580252,1.52,0.92
4096,16,4096,0.12000,0.17000,0.38000,0.387209,0.45,0.98
4096,32,4096,0.15000,0.24000,0.42000,0.436642,0.57,0.96
4096,64,4096,0.21000,0.39000,0.54000,0.552193,0.72,0.98
4096,128,4096,0.37000,0.68000,0.82000,0.831011,0.83,0.99
4096,7000,4096,18.20000,32.44000,22.27000,22.713959,1.46,0.98
4224,1,128,0.01000,0.01000,0.03000,0.027715,0.33,1.08
4224,1500,176,0.30000,0.62000,0.32000,0.326648,1.94,0.98
4608,1,1536,0.06000,0.05000,0.13000,0.131580,0.38,0.99
4608,2,1536,0.06000,0.05000,0.13000,0.131718,0.38,0.99
4608,4,1536,0.06000,0.06000,0.13000,0.132921,0.46,0.98
4608,16,1536,0.06000,0.08000,0.14000,0.150145,0.57,0.93
4608,32,1536,0.07000,0.10000,0.16000,0.169000,0.63,0.95
4608,1500,1536,1.63000,3.13000,2.17000,2.153857,1.44,1.01
4608,3000,1536,3.25000,6.11000,4.29000,4.239925,1.42,1.01
4608,6000,1536,6.28000,12.05000,8.47000,8.425208,1.42,1.01
4608,24000,1536,24.89000,48.78000,33.75000,33.577522,1.45,1.01
4608,48000,1536,49.92000,99.40000,67.55000,67.019351,1.47,1.01
5124,700,2048,1.17000,2.13000,1.85000,1.826065,1.15,1.01
5124,700,2560,1.44000,2.63000,1.89000,1.864210,1.39,1.01
5124,1500,2048,2.48000,4.51000,3.10000,3.240812,1.45,0.96
